country,first_name,gender,gender_id,image_URL,last_name,party
Germany,Albert,Male,2,http://ep.ngo.im/mepphoto/28228.jpg,DESS,PPE
Hungary,Tamás,Male,2,http://ep.ngo.im/mepphoto/96826.jpg,DEUTSCH,PPE
"United Kingdom",Nirj,Male,2,http://ep.ngo.im/mepphoto/4556.jpg,DEVA,ECR
Spain,Agustín,Male,2,http://ep.ngo.im/mepphoto/28397.jpg,"DÍAZ DE MERA GARCÍA CONSUEGRA",PPE
"United Kingdom",Diane,Female,1,http://ep.ngo.im/mepphoto/96951.jpg,DODDS,"NA,NI"
Italy,Leonardo,Male,2,http://ep.ngo.im/mepphoto/96888.jpg,DOMENICI,S&D
Lithuania,Leonidas,Male,2,http://ep.ngo.im/mepphoto/96692.jpg,DONSKIS,ALDE
Italy,Herbert,Male,2,http://ep.ngo.im/mepphoto/96787.jpg,DORFMANN,PPE
Greece,Dimitrios,Male,2,http://ep.ngo.im/mepphoto/107977.jpg,DROUTSAS,S&D
"United Kingdom",Andrew,Male,2,http://ep.ngo.im/mepphoto/4514.jpg,DUFF,ALDE
Belgium,Isabelle,Female,1,http://ep.ngo.im/mepphoto/96639.jpg,DURANT,Verts/ALE
"Czech Republic",Robert,Male,2,http://ep.ngo.im/mepphoto/96717.jpg,DUŠEK,S&D
Denmark,Anne,Female,1,http://ep.ngo.im/mepphoto/4440.jpg,"E. JENSEN",ALDE
Germany,Christian,Male,2,http://ep.ngo.im/mepphoto/28226.jpg,EHLER,PPE
Austria,Martin,Male,2,http://ep.ngo.im/mepphoto/39769.jpg,EHRENHAUSER,"NA,NI"
Netherlands,Bas,Male,2,http://ep.ngo.im/mepphoto/96725.jpg,EICKHOUT,Verts/ALE
Belgium,Saïd,Male,2,http://ep.ngo.im/mepphoto/25718.jpg,"EL KHADRAOUI",S&D
"United Kingdom",James,Male,2,http://ep.ngo.im/mepphoto/1419.jpg,ELLES,ECR
Romania,Ioan,Male,2,http://ep.ngo.im/mepphoto/96859.jpg,ENCIU,S&D
Luxembourg,Frank,Male,2,http://ep.ngo.im/mepphoto/96876.jpg,ENGEL,PPE
Sweden,Christian,Male,2,http://ep.ngo.im/mepphoto/96676.jpg,ENGSTRÖM,Verts/ALE
Belgium,"Derk Jan",Male,2,http://ep.ngo.im/mepphoto/97133.jpg,EPPINK,ECR
Germany,Cornelia,Female,1,http://ep.ngo.im/mepphoto/96852.jpg,ERNST,GUE/NGL
Germany,Ismail,Male,2,http://ep.ngo.im/mepphoto/96842.jpg,ERTUG,S&D
