Area,Age,Sex,Value
Otago region,50-54 Years,Female,7730
Canterbury region,50-54 Years,Female,21320
West Coast region,50-54 Years,Female,1400
Marlborough region,50-54 Years,Female,1770
Nelson region,50-54 Years,Female,2010
Tasman region,50-54 Years,Female,2100
Wellington region,50-54 Years,Female,17960
Hawke's Bay region,50-54 Years,Female,6060
Manawatu-Wanganui region,50-54 Years,Female,8460
Taranaki region,50-54 Years,Female,4170
Bay of Plenty region,50-54 Years,Female,10610
Gisborne region,50-54 Years,Female,1650
Waikato region,50-54 Years,Female,15260
Otago region,45-49 Years,Female,7380
Southland region,45-49 Years,Female,3340
Auckland region,50-54 Years,Female,53960
Northland region,50-54 Years,Female,6530
West Coast region,45-49 Years,Female,1230
Canterbury region,45-49 Years,Female,20980
Nelson region,45-49 Years,Female,1880
Marlborough region,45-49 Years,Female,1610
Tasman region,45-49 Years,Female,1980
Wellington region,45-49 Years,Female,18370
Manawatu-Wanganui region,45-49 Years,Female,7810
Taranaki region,45-49 Years,Female,4020
Hawke's Bay region,45-49 Years,Female,5490
Gisborne region,45-49 Years,Female,1630
Bay of Plenty region,45-49 Years,Female,10230
Waikato region,45-49 Years,Female,15090
Auckland region,45-49 Years,Female,56300
Southland region,40-44 Years,Female,3320
Northland region,45-49 Years,Female,5840
Otago region,40-44 Years,Female,7150
Canterbury region,40-44 Years,Female,20860
West Coast region,40-44 Years,Female,1110
Marlborough region,40-44 Years,Female,1510
Nelson region,40-44 Years,Female,1830
Tasman region,40-44 Years,Female,1860
Wellington region,40-44 Years,Female,18770
Auckland region,85 Years and over,Male,7670
Southland region,80-84 Years,Male,940
Waikato region,85 Years and over,Male,2730
Bay of Plenty region,85 Years and over,Male,2410
Hawke's Bay region,85 Years and over,Male,1270
Gisborne region,85 Years and over,Male,280
Taranaki region,85 Years and over,Male,950
Manawatu-Wanganui region,85 Years and over,Male,1860
Wellington region,85 Years and over,Male,3040
Tasman region,85 Years and over,Male,390
Nelson region,85 Years and over,Male,490
Marlborough region,85 Years and over,Male,410
West Coast region,85 Years and over,Male,240
Canterbury region,85 Years and over,Male,4260
Otago region,85 Years and over,Male,1570
Southland region,85 Years and over,Male,730
Southland region,85 Years and over,Female,1250
Otago region,85 Years and over,Female,2760
Canterbury region,85 Years and over,Female,7350
West Coast region,85 Years and over,Female,340
Tasman region,85 Years and over,Female,580
Nelson region,85 Years and over,Female,800
Marlborough region,85 Years and over,Female,670
Wellington region,85 Years and over,Female,5210
Taranaki region,85 Years and over,Female,1640
Manawatu-Wanganui region,85 Years and over,Female,3160
Hawke's Bay region,85 Years and over,Female,2080
Gisborne region,85 Years and over,Female,480
Bay of Plenty region,85 Years and over,Female,3850
Waikato region,85 Years and over,Female,4580
Southland region,80-84 Years,Female,1160
Auckland region,85 Years and over,Female,13680
